Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,âˆšx (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,100.01226752328235,100.89994514548589,4.946272756837593,-0.3441379643980549,0.006666666666666599,0.0033333333333332993,0.01,910.2222222222222,0.0010592185755060885,0.0010592185755060885,0.0010592185755060885,0_1:0.011183999864512267,0_1:259.55555555555554
1,191.33522337708789,189.21500969306734,4.836301240593509,-0.3487002789786346,0.0016666666666667052,0.0033333333333332993,0,910.2222222222222,0.00021979571446528536,0.00021979571446528536,0.00021979571446528536,1_2:0.025595918681606794; 1_4:0.008375239472699553; 1_0:0.011183999864512267,1_2:320; 1_4:391.1111111111111; 1_0:330.66666666666663
2,242.37641534977783,416.8157293350579,5.053373191896177,-0.34155045049321014,0.0050000000000000044,0.010000000000000009,0,910.2222222222222,0.004632267008275146,0.004632267008275146,0.004632267008275146,2_1:0.025595918681606794; 2_3:0.08165025787551977,2_1:284.44444444444446; 2_3:341.3333333333333
3,177.70900542980513,55.63693957306862,5.19662259064993,-0.33924166446260745,0.008333333333333304,0.0033333333333332993,0.013333333333333334,910.2222222222222,0.000238592836026592,0.000238592836026592,0.000238592836026592,3_5:0.006339322261375652; 3_2:0.08165025787551977,3_5:348.4444444444444; 3_2:270.22222222222223
4,145.9024752481936,261.2041654685537,4.959117950668388,-0.3431163552156697,0.0033333333333332993,0.0033333333333333335,0.0033333333333332993,910.2222222222222,0.00024307150681237343,0.00024307150681237343,0.00024307150681237343,4_7:0.004797362223045748; 4_1:0.008375239472699553,4_7:256; 4_1:320
5,175.79170884178276,119.26085308490644,5.117652926242802,-0.34053255554406897,0.011666666666666714,0.00666666666666671,0.016666666666666666,910.2222222222222,0.0001700694082751075,0.0001700694082751075,0.0001700694082751075,5_8:0.009974326302462755; 5_3:0.006339322261375652,5_8:362.66666666666663; 5_3:384
6,124.75862111044623,225.57503927033056,4.987172956141792,-0.3444769597500831,0.008333333333333304,0.010000000000000009,0.006666666666666667,910.2222222222222,0.00032072282167757056,0.00032072282167757056,0.00032072282167757056,6_7:0.01568990319389693,6_7:362.66666666666663
7,136.33411801691275,250.55042686698508,4.882499168571327,-0.34560653051507434,0.006666666666666599,0.01,0.0033333333333332993,910.2222222222222,0.00022052287951005044,0.00022052287951005044,0.00022052287951005044,7_6:0.01568990319389693; 7_4:0.004797362223045748; 7_10:0.004799030799762044,7_6:398.2222222222222; 7_4:327.1111111111111; 7_10:270.22222222222223
8,142.10039332624555,166.75489172420396,5.018651696135569,-0.33180025737305086,0.008333333333333304,0.013333333333333308,0.0033333333333333335,910.2222222222222,0.00019674712278980333,0.00019674712278980333,0.00019674712278980333,8_11:0.010842168471436042; 8_9:0.02562503540409819; 8_5:0.009974326302462755,8_11:398.2222222222222; 8_9:362.66666666666663; 8_5:398.2222222222222
9,211.60023401507434,177.11598789940152,4.904229174442125,-0.345492515530258,0.008333333333333304,0.013333333333333334,0.0033333333333332993,910.2222222222222,0.0008753198652981135,0.0008753198652981135,0.0008753198652981135,9_8:0.02562503540409819,9_8:398.2222222222222
10,117.90606088265206,134.40204490843993,4.9488891384167,-0.3446725957664228,0.011666666666666714,0.0033333333333333335,0.020000000000000018,910.2222222222222,0.0003509041683258222,0.0003509041683258222,0.0003509041683258222,10_12:0.00963496565682384; 10_7:0.004799030799762044,10_12:288; 10_7:199.1111111111111
11,59.82438449537396,29.57447416220791,5.095074710887666,-0.34275422029132,0.015000000000000013,0.023333333333333317,0.006666666666666667,910.2222222222222,0.00022344325066864498,0.00022344325066864498,0.00022344325066864498,11_8:0.010842168471436042; 11_14:1,11_8:362.66666666666663; 11_14:376.88888888888886
12,128.18058875688288,72.8959945004336,5.064292880842826,-0.34206691765765174,0.0016666666666667052,0,0.0033333333333332993,910.2222222222222,0.0005870716537558938,0.0005870716537558938,0.0005870716537558938,12_15:0.0086160398782473; 12_10:0.00963496565682384; 12_13:0.0050561761532677,12_15:469.3333333333333; 12_10:216.88888888888889; 12_13:284.44444444444446
13,106.68705234363026,199.2582124886001,5.113788729154906,-0.342088328609265,0.030000000000000027,0.036666666666666625,0.023333333333333334,910.2222222222222,0.00042312839312708003,0.00042312839312708003,0.00042312839312708003,13_12:0.0050561761532677; 13_14:1,13_12:213.33333333333331; 13_14:355.55555555555554
14,154.8316274027613,94.74287548365604,4.9867904224455515,-0.34484480134525225,0.020000000000000018,0.01,0.030000000000000027,910.2222222222222,0.00017781628087020109,0.00017781628087020109,0.00017781628087020109,14_11:1; 14_13:1; 14_16:1,14_11:412.4444444444444; 14_13:391.1111111111111; 14_16:298.66666666666663
15,140.48405664397143,207.75367809212028,4.807692576734698,-0.3405146004657813,0.010000000000000009,0.02,0,910.2222222222222,0.0005080679261222112,0.0005080679261222112,0.0005080679261222112,15_12:0.0086160398782473; 15_18:1,15_12:504.88888888888886; 15_18:320
16,134.5004846919967,70.37070815483968,4.883026998720859,-0.34329389694176865,0.4686666666666667,0.6583333333333333,0.279,910.2222222222222,0.00032952438894701363,0.00032952438894701363,0.00032952438894701363,16_14:1; 16_19:1,16_14:334.22222222222223; 16_19:405.3333333333333
17,187.82597062459647,53.73308649006807,4.88819543108532,-0.3466557873871231,0.011666666666666714,0.02,0.0033333333333332993,910.2222222222222,0.00017327844769679187,0.00017327844769679187,0.00017327844769679187,17_18:0.03443694294160274,17_18:433.77777777777777
18,149.1399108518907,55.80436412048159,5.0097521905285065,-0.34411198899010936,0.010000000000000009,0.013333333333333308,0.006666666666666667,910.2222222222222,0.0010191919593175696,0.0010191919593175696,0.0010191919593175696,18_21:0.015079626231896293; 18_17:0.03443694294160274; 18_15:1,18_21:398.2222222222222; 18_17:398.2222222222222; 18_15:284.44444444444446
19,145.1219243858215,37.66326180978354,5.215876104714746,-0.3276275551647752,0.09666666666666668,0.08666666666666667,0.10666666666666667,910.2222222222222,0.0005552731849254167,0.0005552731849254167,0.0005552731849254167,19_22:0.01062749027025578; 19_20:0.01327760169464881; 19_16:1,19_22:398.2222222222222; 19_20:334.22222222222223; 19_16:369.77777777777777
20,64.93016236377231,78.33259349636825,4.961904328359002,-0.3444372831425557,0.03499999999999992,0.043333333333333335,0.02666666666666667,910.2222222222222,0.0007941532201209711,0.0007941532201209711,0.0007941532201209711,20_19:0.01327760169464881,20_19:369.77777777777777
21,94.95633806851102,123.20391573325313,5.05650231599387,-0.34223080318781285,0.021666666666666723,0.023333333333333317,0.02,910.2222222222222,0.0006743388644514369,0.0006743388644514369,0.0006743388644514369,21_23:0.012351409472035502; 21_18:0.015079626231896293,21_23:483.55555555555554; 21_18:362.66666666666663
22,199.4954087090914,178.71685426243252,4.978399985871593,-0.34449387861773334,0.0050000000000000044,0,0.010000000000000009,910.2222222222222,0.00018254068984751705,0.00018254068984751705,0.00018254068984751705,22_25:0.007123528194668688; 22_19:0.01062749027025578,22_25:469.3333333333333; 22_19:433.77777777777777
23,150.72399316575581,54.31449558671161,5.213679646680343,-0.3387972713571885,0.006666666666666599,0.0033333333333333335,0.010000000000000009,910.2222222222222,0.00017646790821653163,0.00017646790821653163,0.00017646790821653163,23_21:0.012351409472035502; 23_24:0.007656045388387045,23_21:519.1111111111111; 23_24:334.22222222222223
24,193.47832405390025,91.00548960603925,5.023835336814217,-0.3416855801472811,0.008333333333333304,0.00666666666666671,0.01,910.2222222222222,0.00021681250254346697,0.00021681250254346697,0.00021681250254346697,24_23:0.007656045388387045; 24_25:0.005139261255590749,24_23:369.77777777777777; 24_25:384
25,115.82434275433395,66.10581419952595,4.897163298306094,-0.3448349844952132,0.006666666666666599,0.013333333333333334,0,910.2222222222222,0.0002670344242693711,0.0002670344242693711,0.0002670344242693711,25_26:0.011560079769138809; 25_22:0.007123528194668688; 25_24:0.005139261255590749,25_26:376.88888888888886; 25_22:433.77777777777777; 25_24:419.55555555555554
26,146.5602650705455,39.65713617571618,4.840394564506624,-0.3130029100051983,0.043333333333333335,0.04666666666666667,0.040000000000000036,910.2222222222222,0.0009015009426893124,0.0009015009426893124,0.0009015009426893124,26_25:0.011560079769138809,26_25:412.4444444444444
